eval_split,variant,population,scope,n_images,n_stems,mean_A,median_A,mean_A_ci_low,mean_A_ci_high,mean_E,median_E,mean_E_ci_low,mean_E_ci_high,mean_mu_w,median_mu_w,mean_mu_w_ci_low,mean_mu_w_ci_high,mean_PG,median_PG,mean_PG_ci_low,mean_PG_ci_high,mean_E_minus_A,median_E_minus_A,mean_E_minus_A_ci_low,mean_E_minus_A_ci_high
dev_val,digital_2,clean_correct_attacks,text,135,51,0.015714410943626907,0.015403087478559176,0.014704962984323616,0.016700560848908974,0.03149422634424598,0.024622039978792937,0.027939604599835383,0.0353073871150551,1.9912443083022333,1.6399345158990757,1.8336973375582784,2.1671899219098902,0.3925925925925926,0.0,0.3262372802960222,0.4615671641791041,0.01577981540061907,0.008898733366941665,0.012905071302541997,0.018871378237876078
official_test,digital_3,all_attacks,union,786,262,0.028657409272117115,0.027570201426025703,0.028039224486527098,0.0292957108270296,0.6420200254923702,0.6974616532191887,0.6272446727765132,0.6567670606272342,23.263389960172322,23.689217178488796,22.51375269750512,24.0225720960015,0.9910941475826972,1.0,0.9834605597964376,0.9974554707379135,0.6133626162202532,0.6717725086538577,0.5981258405661954,0.6281606279099576
official_test,digital_3,all_attacks,text,786,262,0.028657409272117115,0.027570201426025703,0.028028757250084132,0.02927609061299493,0.6420200254923702,0.6974616532191887,0.6274751575740304,0.6564804354362921,23.263389960172322,23.689217178488796,22.5214899882729,24.015593005550887,0.9910941475826972,1.0,0.9834605597964376,0.9974554707379135,0.6133626162202532,0.6717725086538577,0.5985328529137762,0.627955281684901
official_test,digital_3,clean_correct_attacks,union,786,262,0.028657409272117115,0.027570201426025703,0.028035173864672785,0.029303022827283497,0.6420200254923702,0.6974616532191887,0.6270751459684326,0.6569316583045058,23.263389960172322,23.689217178488796,22.521041623311817,24.01420744359921,0.9910941475826972,1.0,0.9847328244274809,0.9974554707379135,0.6133626162202532,0.6717725086538577,0.5982328237520489,0.6281798538755506
official_test,digital_3,clean_correct_attacks,text,786,262,0.028657409272117115,0.027570201426025703,0.028026718324691325,0.029309554093639,0.6420200254923702,0.6974616532191887,0.6270365980628958,0.6567753362159936,23.263389960172322,23.689217178488796,22.50476965676609,24.025426476784432,0.9910941475826972,1.0,0.9834605597964376,0.9974554707379135,0.6133626162202532,0.6717725086538577,0.5986672070978935,0.6284733744829784
official_test,facedancer,all_attacks,union,150,89,0.06444262979016933,0.0731979594089054,0.0597110853516307,0.06885332991380057,0.10810275692066869,0.09956682050209423,0.10086312025412883,0.11538227635532385,1.7708683432225238,1.5782111488318493,1.661214329412719,1.8894051152439046,0.4266666666666667,0.0,0.348993288590604,0.5064935064935064,0.04366012713049937,0.034612559700386035,0.038598018196943515,0.048989043881529554
official_test,facedancer,all_attacks,face,150,89,0.06444262979016933,0.0731979594089054,0.0596568788168356,0.06900583765795842,0.10810275692066869,0.09956682050209423,0.10045313958932474,0.11550230207765973,1.7708683432225238,1.5782111488318493,1.6595990648625707,1.8847062824238172,0.4266666666666667,0.0,0.34751034278959814,0.5035460992907801,0.04366012713049937,0.034612559700386035,0.03854887037338253,0.04891536565288861
official_test,facedancer,clean_correct_attacks,union,107,74,0.06896233199804151,0.07497507628740926,0.06453987365456389,0.07291574915392324,0.11194378847865827,0.10183434597823401,0.10381938873282222,0.12011910496897638,1.6998216932727652,1.4942961902126186,1.573545373401148,1.8323057734606125,0.40186915887850466,0.0,0.308411214953271,0.4953271028037383,0.04298145648061676,0.03336499281463902,0.036316575394931376,0.04970643965385449
official_test,facedancer,clean_correct_attacks,face,107,74,0.06896233199804151,0.07497507628740926,0.06463481912407955,0.07299408927231148,0.11194378847865827,0.10183434597823401,0.10384821904061785,0.12010255097448487,1.6998216932727652,1.4942961902126186,1.5726746673503804,1.8336487737521268,0.40186915887850466,0.0,0.308411214953271,0.49514563106796117,0.04298145648061676,0.03336499281463902,0.03633434307160036,0.04979494396242277
official_test,textdiffuserft_bfei,all_attacks,union,149,88,0.04160435303987462,0.04157509157509157,0.04076823543232523,0.042448978578261146,0.7031979322326984,0.7778054675335163,0.6644262912545991,0.7411268824453568,17.13018172812601,18.76584855648744,16.125437727753386,18.08548779089297,1.0,1.0,1.0,1.0,0.6615935791928239,0.736817830858439,0.6225037380550612,0.6982933521700799
official_test,textdiffuserft_bfei,all_attacks,text,149,88,0.04160435303987462,0.04157509157509157,0.040741081117079525,0.04245285170695862,0.7031979322326984,0.7778054675335163,0.6659282288046179,0.739880151594096,17.13018172812601,18.76584855648744,16.115698740513622,18.064354878789576,1.0,1.0,1.0,1.0,0.6615935791928239,0.736817830858439,0.6218455467927964,0.6980918946709535
official_test,textdiffuserft_bfei,clean_correct_attacks,union,149,88,0.04160435303987462,0.04157509157509157,0.04072824972258638,0.04247204253439396,0.7031979322326984,0.7778054675335163,0.6639008054442277,0.7409769107966463,17.13018172812601,18.76584855648744,16.13716441544886,18.1203698232137,1.0,1.0,1.0,1.0,0.6615935791928239,0.736817830858439,0.6235103575572412,0.6986796283429985
official_test,textdiffuserft_bfei,clean_correct_attacks,text,149,88,0.04160435303987462,0.04157509157509157,0.04075300016843816,0.04249340642645954,0.7031979322326984,0.7778054675335163,0.665355701667258,0.7407012626668823,17.13018172812601,18.76584855648744,16.143513163395777,18.109399380159715,1.0,1.0,1.0,1.0,0.6615935791928239,0.736817830858439,0.6232412298811862,0.698946918331372
