evaluation_split,variant,selection_scope,evidence_role,area_bin,n_images,n_stems,attack_probability_mean,attack_probability_median,attack_recall_at_0_5,zero_cam_fraction,padding_energy_mean,pointing_padding,face_share_altered_energy_mean,text_share_altered_energy_mean,A_mean,A_median,A_mean_ci_low,A_mean_ci_high,A_median_ci_low,A_median_ci_high,E_mean,E_median,E_mean_ci_low,E_mean_ci_high,E_median_ci_low,E_median_ci_high,mu_w_mean,mu_w_median,mu_w_mean_ci_low,mu_w_mean_ci_high,mu_w_median_ci_low,mu_w_median_ci_high,PG_mean,PG_median,PG_mean_ci_low,PG_mean_ci_high,PG_median_ci_low,PG_median_ci_high,energy_gain_mean,energy_gain_median,energy_gain_mean_ci_low,energy_gain_mean_ci_high,energy_gain_median_ci_low,energy_gain_median_ci_high,face_A_mean,face_A_median,face_A_mean_ci_low,face_A_mean_ci_high,face_A_median_ci_low,face_A_median_ci_high,face_E_mean,face_E_median,face_E_mean_ci_low,face_E_mean_ci_high,face_E_median_ci_low,face_E_median_ci_high,face_mu_w_mean,face_mu_w_median,face_mu_w_mean_ci_low,face_mu_w_mean_ci_high,face_mu_w_median_ci_low,face_mu_w_median_ci_high,face_PG_mean,face_PG_median,face_PG_mean_ci_low,face_PG_mean_ci_high,face_PG_median_ci_low,face_PG_median_ci_high,text_A_mean,text_A_median,text_A_mean_ci_low,text_A_mean_ci_high,text_A_median_ci_low,text_A_median_ci_high,text_E_mean,text_E_median,text_E_mean_ci_low,text_E_mean_ci_high,text_E_median_ci_low,text_E_median_ci_high,text_mu_w_mean,text_mu_w_median,text_mu_w_mean_ci_low,text_mu_w_mean_ci_high,text_mu_w_median_ci_low,text_mu_w_median_ci_high,text_PG_mean,text_PG_median,text_PG_mean_ci_low,text_PG_mean_ci_high,text_PG_median_ci_low,text_PG_median_ci_high
project_train,digital_1,all_attacks,training_diagnostic,large,300,107,0.999600336154302,0.9999938011169434,1.0,0.0,0.002795144369814816,0.0,0.9212272772664944,0.07877272273350557,0.18072561191900968,0.17501976243295575,0.1741422243895286,0.18788832015794255,0.16644425541024524,0.18627952283113947,0.7361282818516095,0.7329253554344177,0.7199924798219774,0.7526710150369776,0.7128252685070038,0.7467105388641357,4.208122432867094,4.244931158721439,4.043854768562395,4.3697052514506955,3.953786797311789,4.4981210718763265,0.9966666666666667,1.0,0.9897260273972602,1.0,1.0,1.0,0.5554026699325999,0.5505581469182259,0.5381723542987693,0.5724370793611041,0.5360549739176348,0.5667968108794097,0.16378649898237982,0.15958284511721127,0.15729464938151264,0.17089672571312484,0.1510335791925466,0.16767506494498777,0.6818591622511546,0.6778205335140228,0.6619003492304965,0.7021742808405225,0.6551159024238586,0.6920509509742258,4.327780867824802,4.2806466953040205,4.133401992616963,4.522712438340814,4.022035049325373,4.6417011794865815,0.93,1.0,0.893687707641196,0.9619409974943324,1.0,1.0,0.017004131015211203,0.015738341353359272,0.01616708546426133,0.017863721059121176,0.015154198985680191,0.017241461644254278,0.05435273504064147,0.05340204015374184,0.04982662052711666,0.05897799554092622,0.04952177032828331,0.05853573605418205,3.1722312320736825,3.133335529354709,2.9451427773091985,3.397481841031289,2.9218623779694948,3.384303454148809,0.06666666666666667,0.0,0.035483870967741936,0.10265127460763854,0.0,0.0
project_train,digital_2,all_attacks,training_diagnostic,all,480,160,0.9995682782183091,0.9999985694885254,1.0,0.0,0.002974797861977644,0.0,0.9845787535472095,0.015421246452790529,0.08920432324803847,0.08395897336470393,0.08545236238525791,0.09318361037125085,0.08072569567101306,0.08890335648148148,0.5383226823993027,0.526037335395813,0.5209756459730367,0.5556869009959822,0.507430087029934,0.5454970598220825,6.205732934164198,6.421044704348904,6.054596210110716,6.352533843419501,6.284644618323265,6.52980967716938,0.5791666666666667,1.0,0.5208333333333334,0.6375,1.0,1.0,0.44911835915126425,0.43812879050686526,0.43431399927550496,0.4638708706141973,0.4213820622499736,0.45965840244752604,0.0729063775439695,0.0690338363002343,0.06932995199263295,0.07680694954870108,0.06585767251815981,0.07265079169198056,0.5308623736879478,0.5215775966644287,0.513430412322826,0.5484576386438372,0.4996110647916794,0.5392602920532227,7.6275570901030925,7.813262316423401,7.412068459059974,7.835543169481222,7.568939741494249,8.086315857719764,0.5770833333333333,1.0,0.51875,0.6333333333333333,1.0,1.0,0.016297945704068978,0.015463841293190641,0.015695293254456937,0.01690656720383332,0.014861482144961264,0.016210888506744115,0.0074603080420590235,0.0029754702700302005,0.006112786218934333,0.008918737157973958,0.001897790150542278,0.004916269797831774,0.438345311220479,0.1982937517225986,0.3641830049546534,0.5198012480294752,0.09998746096068842,0.2976819889763227,0.0020833333333333333,0.0,0.0,0.00625,0.0,0.0
project_train,digital_2,all_attacks,training_diagnostic,small,302,107,0.9996875153472092,0.9999987483024597,1.0,0.0,0.0010619205241214603,0.0,0.9858652911136985,0.014134708886301584,0.07401263465587087,0.07531652351837474,0.07202086633646172,0.07595946393022955,0.07262336334265417,0.0773333835946924,0.4862668982010014,0.4832138270139694,0.47235053794569404,0.5007126655307494,0.47098611295223236,0.5005216598510742,6.6008019466477625,6.664998997766929,6.477067102211973,6.723594963857082,6.519721323361788,6.813682879663354,0.4768211920529801,0.0,0.40131525719638905,0.5529801324503312,0.0,1.0,0.4122542635451306,0.40783839723345955,0.399970974580976,0.4251054134614457,0.39672246502445113,0.4263466989679588,0.0583960712711994,0.05826549345775897,0.05642850850615566,0.06039229627671824,0.054768516421006,0.06277296686746987,0.4798460847001202,0.4784509837627411,0.4659736625536143,0.49471161692177984,0.4647673964500427,0.4936259090900421,8.313934861291889,8.422362835049336,8.148651223634525,8.478305711328561,8.256036590380253,8.65910377794853,0.4735099337748344,0.0,0.3980263157894737,0.5488215488215489,0.0,1.0,0.015616563384671451,0.014628838904490599,0.014915193521265161,0.0163376804153966,0.013915691085512261,0.015795042321644498,0.006420813972436599,0.0019281035056337714,0.004821825624091412,0.00827849040974002,0.0007054177716781852,0.003354481654241681,0.3917522479603055,0.1170460935311036,0.30344763959042353,0.49602934433098933,0.05126960032037848,0.2252157906731975,0.0033112582781456954,0.0,0.0,0.010101010101010102,0.0,0.0
project_train,digital_2,all_attacks,training_diagnostic,medium,158,62,0.9997991595087172,0.9999986886978149,1.0,0.0,0.005948591503174381,0.0,0.981961340557646,0.018038659442354124,0.1093574507468002,0.10878393677130771,0.10697364160379222,0.11172677268010424,0.10543686598219432,0.11256565522974607,0.6106066101148159,0.6347122490406036,0.5862914594893273,0.6336855886989797,0.5868156552314758,0.6543057858943939,5.624370626082672,5.759946783067902,5.3818188622125325,5.86428631972937,5.356940288329946,6.070476244080742,0.740506329113924,1.0,0.6687116564417178,0.8121306818181817,1.0,1.0,0.5012491593680156,0.5229591022577809,0.4769597470601882,0.5243519074848194,0.48667030556601765,0.5471256104525478,0.09209441800556356,0.09182068192943288,0.08969741140124983,0.09440703878571775,0.0888058574879227,0.09478880977577304,0.6013383521592315,0.6246389448642731,0.5761034332908546,0.6252386492219262,0.5762256383895874,0.6427907347679138,6.588515164039057,6.844110256116602,6.294682307760478,6.880423149619632,6.286049996221908,7.174729580651755,0.740506329113924,1.0,0.6687116564417178,0.8121306818181817,1.0,1.0,0.01726303274123664,0.016244404340480002,0.016290156897489222,0.018314946785423437,0.015170560024752476,0.017868357947624848,0.00926825645952888,0.005908491322770715,0.0069758199423065785,0.01179408804077973,0.00267007015645504,0.007659165188670158,0.5206205286176372,0.3775351978030155,0.3995904182517664,0.6496950345444997,0.19434102817061624,0.4773308105807937,0.0,0.0,0.0,0.0,0.0,0.0
project_train,digital_2,all_attacks,training_diagnostic,large,20,10,0.9959438353776932,0.9999797940254211,1.0,0.0,0.008366275898151799,0.0,0.9858295989107789,0.014170401089221204,0.1593891137495519,0.15780761165188947,0.14511690783940084,0.17396099692858524,0.13792741650047952,0.17607609269230706,0.7533219948410987,0.7831116914749146,0.6766846710646695,0.804382379622095,0.6477510929107666,0.8316702842712402,4.832953079506445,4.803252563291921,4.169233244328644,5.472449758073796,3.9634845359268365,5.720222444936794,0.85,1.0,0.7,1.0,1.0,1.0,0.5939328810915468,0.6336883603681851,0.5122517604638247,0.65231266965004,0.4944094477347957,0.6736188136790096,0.14042648261620475,0.13685322493527718,0.12427907756009962,0.15620122079909612,0.11970979443772672,0.16265245090399003,0.7444481074810028,0.7765839099884033,0.6613469388335943,0.7992710101198066,0.6334860324859619,0.8300422728061676,5.471683961058147,5.654105198934094,4.626527911338889,6.302801482886742,4.426949485937082,6.570643787078042,0.85,1.0,0.7,1.0,1.0,1.0,0.01896263113334715,0.016891286106553674,0.016268422757205955,0.022864193619718722,0.015585044374247894,0.023579717839805826,0.008873875995345771,0.005619094939902425,0.004097813428312624,0.015220816855622205,0.0005766891990788281,0.013475538231432438,0.4919263490115494,0.27762592318808776,0.2070145212302731,0.8724151139322058,0.023055237075353043,0.8452157236561917,0.0,0.0,0.0,0.0,0.0,0.0
