global_order,image_path,variant,hardware_source,native_pixels,image_dir,marker_sha256,wall_seconds,gradient_seconds,reference_seconds
265,train/attack/digital_2/huawei/usa-067_03.jpg,digital_2,huawei,5804535,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/265_70b511389e06,a0e593168fa88c36ddcb8f0a893eedcf46d31bdbe2f970fd9201115a7a86b715,568.2982532770002,312.7470220469968,218.88564218300053
266,train/attack/digital_2/iphone15pro/usa-067_03.jpg,digital_2,iphone15pro,4231231,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/266_6c99052efad0,246afb9120196b9959f3f13e3483cb13eb1a081ca73ea58e3086b1697a4c984b,64.88229490100093,38.28320499700203,14.05994621800346
267,train/attack/digital_1/huawei/usa-NF-1036.jpg,digital_1,huawei,6383468,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/267_7d72d80be87d,366dcc89d4af9d1d39d8ab484e51afb3e24b71c3e199f4a27ea3af9ec4b9e6ee,790.9221457969998,405.739716160997,340.3957338770033
268,train/attack/digital_1/iphone15pro/usa-NF-1036.jpg,digital_1,iphone15pro,5052600,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/268_9d69241e1f1b,dc684f45dc76eee1d62225c6341c7f80e0fb9cc41d436cf1768aaa93436e35a6,169.65538484399985,130.61404913099796,17.339395434000835
269,train/attack/digital_1/scan/usa-NF-1036.jpg,digital_1,scan,2488755,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/269_d5d3682b04d9,694e9460e3d9715f1457d149d49a15b17c36c6612f54e5e89d4c4750641e6ebd,32.02291924899873,17.310588989997996,6.949238328999854
270,train/attack/digital_2/huawei/usa-NF-1036.jpg,digital_2,huawei,6383468,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/270_05cae596aac9,9cec4d912d16fee729714bfbf274fd3f9d23aab4217857ea9a07c0ec79ddce25,1097.6202582390015,549.446831474992,504.25598839300073
271,train/attack/digital_2/iphone15pro/usa-NF-1036.jpg,digital_2,iphone15pro,5052600,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/271_151ec583628a,fb0e2f35c9160be3fcd208ae3f8146bc08c1bfdc8f8352ce2ed6720c39452e19,172.7724446079992,131.0836101720124,19.38146383800631
272,train/attack/digital_1/huawei/usa-NF-1065.jpg,digital_1,huawei,5777436,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/272_fec0be7dedc5,8c0936393530ce51859e0b17a69acd8aa623cf5889af4ad7efd69da04de1c1a3,482.27768295699934,264.15984781900625,185.4213023409975
273,train/attack/digital_1/iphone15pro/usa-NF-1065.jpg,digital_1,iphone15pro,4264317,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/273_523e5c558d74,95758d093b0cb93160c720023daf83bb5e6e2e3b40bef97af56750c0467bbffa,65.91129786099918,38.55598239698884,14.086915477011644
274,train/attack/digital_1/scan/usa-NF-1065.jpg,digital_1,scan,2489760,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/274_b9284824402a,4ef33ab67375162eae09ecbb61b68d372783bbe5ae89ce2087ae45c216c27580,33.32752160699965,17.303046835011628,6.844225863998872
275,train/attack/digital_2/huawei/usa-NF-1065.jpg,digital_2,huawei,5777436,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/275_30f9e3ef244f,50c25f7c27bfbecb1303fccaab03b36f69bb22274bf2260bfe34283472b4912c,467.13185040700046,258.42261467100616,176.01961742299682
276,train/attack/digital_2/iphone15pro/usa-NF-1065.jpg,digital_2,iphone15pro,4264317,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/276_dd98dfb903fd,54fd5b63252a1c27b3dbb5cbc295299156afad280427e368c67c3c000f41527e,65.95714615500037,38.54358300099193,14.064753674003441
277,train/attack/digital_1/huawei/usa-NF-1076.jpg,digital_1,huawei,6298334,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/277_3e77bcc46ab5,c1a4dacd4fe9177378cf9f5ee6603b911e654fac9096d5fc891b07aa4a614557,1005.8525216840001,559.259538163,405.0869318079997
278,train/attack/digital_1/iphone15pro/usa-NF-1076.jpg,digital_1,iphone15pro,5105792,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/278_813a1d657885,84da4342f6eabc0c6ee6d11ffc62409099789140c01c9724a54125ee412353b8,251.9077810199999,173.3846069870001,54.17942088700033
279,train/attack/digital_1/scan/usa-NF-1076.jpg,digital_1,scan,2495236,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/279_762eef4f26b5,80a52ec61f1a834477ed0c1e4e53f03087673688bbd75d0b95f8ce2dc448237d,32.25179762400012,17.38297412799875,7.015752522999264
280,train/attack/digital_2/huawei/usa-NF-1076.jpg,digital_2,huawei,6298334,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/280_2160c6b7a2f6,2e57fc13332a96041205b87cb68561f2e4d94d22676f8b5124d7ac4835394308,1193.7640171509997,733.805674705,420.3498337140004
281,train/attack/digital_2/iphone15pro/usa-NF-1076.jpg,digital_2,iphone15pro,5105792,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/281_2eed734bbfbf,719522d80b6374a2c2ae451a802ef3c2f47a87210ca006dd6924a86a803f9375,230.71534143500003,153.0343248210006,53.342257619000065
