split,variant,field_name,n_pairs,n_stems,same_source_auc,mean_probability_delta,median_probability_delta,mean_feature_shift_norm,mean_axis_projection,mean_axis_cosine,fraction_positive_projection,mean_cos_train_global,mean_cos_train_same_field,mean_gray_mad_inside,mean_lap_mad_inside,mean_changed_inside_ge5,mean_annotation_coverage
project_train,digital_1,alternative,30,10,1.0,0.9992567682389136,0.9994137849151649,24.799571228027343,19.049976345792263,0.7688468713364329,1.0,0.9296989957491557,0.9906028211116791,60.42641881306966,18.451692056655883,0.8811579809747315,0.896024697030625
project_train,digital_1,dob,460,160,1.0,0.9945985147881004,0.9992800855192088,18.44957467213921,15.353796372803501,0.8310319998687415,1.0,0.9816025432037271,0.9821195886186932,57.10976560841436,18.267782019532245,0.80343331481959,0.970956473397026
project_train,digital_1,doe,446,160,1.0,0.9961266398591389,0.999433243354155,19.161396225471666,15.981619676991311,0.8332761571298728,1.0,0.9829121101062929,0.9829712210749297,55.91295357776864,17.374614340307467,0.8085826413595464,1.0
project_train,digital_1,name,312,104,1.0,0.9905997284020728,0.9990176488080815,23.930411555828194,19.05465811776212,0.7988366818771175,1.0,0.9572885527442663,0.9752789491262192,52.69637093788538,17.105270378100567,0.8301184929024226,0.9385869716758976
project_train,digital_1,name_en,126,42,1.0,0.9973613737418572,0.9995428047273031,21.40160575745598,17.462391164217127,0.8185590219996259,1.0,0.9735877622687628,0.976182930999332,50.022945570567295,17.235856313554066,0.7369933756555119,0.9733057249473301
project_train,digital_1,name_other,12,4,1.0,0.9813538222856876,0.9986423874241626,20.799232006072998,17.245479002033147,0.8285940756251261,1.0,0.983258898059527,,53.66497961680094,20.71159791946411,0.8712807022228022,1.0
project_train,digital_2,alternative,30,10,1.0,0.9991973798305003,0.9994137149020843,27.30271078745524,21.108374848159183,0.7760699408053863,1.0,0.9358740746974945,0.9874651928742727,62.9723087310791,20.648530578613283,0.802169555906128,0.896024697030625
project_train,digital_2,dob,397,139,1.0,0.9920350767222549,0.9993896154700845,18.31783154088844,15.201305334689604,0.8267733724361567,1.0,0.9721303643747902,0.9763478355984243,57.201202724082044,20.217297576837034,0.7500293301677452,0.9880861733826257
project_train,digital_2,doe,446,160,1.0,0.9952815694432043,0.9993464338246634,18.20729489069883,15.142200652166869,0.8304426703737845,1.0,0.973720401258212,0.979806167662411,51.653818079174364,18.969072806995545,0.7242318322293819,1.0
project_train,digital_2,name,312,104,0.9999691814595661,0.988311919303828,0.9990158273356695,24.04284818050189,19.374755010639642,0.8072047836894699,1.0,0.9640187380405573,0.9735764522965138,53.16954531425085,19.198246164199634,0.7384706022855672,0.9431369132004251
project_train,digital_2,name_en,126,42,1.0,0.9971526059377217,0.9995359808035951,21.316876487126425,17.416647448348645,0.8174420529396439,1.0,0.9662780927287208,0.9691734091630058,50.67459321400476,19.484581856500533,0.6736976930735699,0.9830864121523332
project_train,digital_2,name_other,12,4,1.0,0.9813381108120266,0.9986429061038211,19.19518502553304,15.938137198495385,0.8293495972868831,1.0,0.9798671354850134,,46.409312884012856,20.654746532440186,0.840893974806402,1.0
